	PostalCode	Borough	Neighborhood	URL	Title	Latitude	Longitude
32	M1E	Scarborough	Guildwood	/wiki/Scarborough,_Toronto	Scarborough, Toronto, Ontario	43.74953000000005	-79.18991999999997
33	M1E	Scarborough	Morningside	/wiki/Morningside,_Toronto	Morningside, Toronto, Ontario	43.782550000000064	-79.20522999999997
34	M1E	Scarborough	West Hill	/wiki/West_Hill,_Toronto	West Hill, Toronto, Ontario	43.76343000000003	-79.17819999999995
35	M4E	East Toronto	The Beaches	/wiki/The_Beaches	The Beaches, Toronto, Ontario	43.67413000000005	-79.29643999999995
36	M5E	Downtown Toronto	Berczy Park	/wiki/Berczy_Park	Berczy Park, Toronto, Ontario	43.648299933925934	-79.37524996335624
37	M6E	York	Caledonia-Fairbanks		, Toronto, Ontario	43.68857000000003	-79.45482999999996
38	M1G	Scarborough	Woburn	/wiki/Woburn,_Toronto	Woburn, Toronto, Ontario	43.76730000000003	-79.22822999999994
39	M4G	East York	Leaside	/wiki/Leaside	Leaside, Toronto, Ontario	43.70023937855272	-79.3510651247247
40	M5G	Downtown Toronto	Central Bay Street	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.67140453386777	-79.39019911048253
41	M6G	Downtown Toronto	Christie	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.67301585710074	-79.42208044860641
42	M2H	North York	Hillcrest Village	/wiki/Hillcrest_Village	Hillcrest Village, Toronto, Ontario	43.803030000000035	-79.35345999999998
43	M3H	North York	Bathurst Manor	/wiki/Bathurst_Manor	Bathurst Manor, Toronto, Ontario	43.76378000000005	-79.45476999999994
44	M3H	North York	Downsview North	/wiki/North_York	North York, Toronto, Ontario	43.720189518788395	-79.49991483674016
45	M3H	North York	Wilson Heights	/wiki/Wilson_Heights,_Toronto	Wilson Heights, Toronto, Ontario	43.737330000000036	-79.43440999999996
46	M4H	East York	Thorncliffe Park	/wiki/Thorncliffe_Park	Thorncliffe Park, Toronto, Ontario	43.70732000000004	-79.34352999999999
47	M5H	Downtown Toronto	Adelaide	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.6450905	-79.40162025
48	M5H	Downtown Toronto	King	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.706306895928535	-79.51435484350158
49	M5H	Downtown Toronto	Richmond	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.64544610909	-79.40864762680705
50	M6H	West Toronto	Dovercourt Village	/wiki/Dovercourt_Village	Dovercourt Village, Toronto, Ontario	43.66396916829618	-79.43036119458887
51	M6H	West Toronto	Dufferin	/wiki/West_Toronto	West Toronto, Toronto, Ontario	43.69184908156719	-79.44866548516069
52	M1J	Scarborough	Scarborough Village	/wiki/Scarborough_Village	Scarborough Village, Toronto, Ontario	43.73852000000005	-79.21691999999996
53	M2J	North York	Fairview	/wiki/North_York	North York, Toronto, Ontario	43.661169292728815	-79.47670900203676
54	M2J	North York	Henry Farm	/wiki/Henry_Farm	Henry Farm, Toronto, Ontario	43.77230000000003	-79.34086999999994
55	M2J	North York	Oriole	/wiki/North_York	North York, Toronto, Ontario	43.69364257834618	-79.4018117559737
56	M3J	North York	Northwood Park	/wiki/Northwood_Park	Northwood Park, Toronto, Ontario	43.742660000000065	-79.49636999999996
57	M3J	North York	York University	/wiki/York_University	York University, Toronto, Ontario	43.77170000000007	-79.49862999999993
58	M4J	East York	East Toronto	/wiki/East_Toronto	East Toronto, Toronto, Ontario	43.79019284319802	-79.13558730334614
59	M5J	Downtown Toronto	Harbourfront East	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.639509955566034	-79.38315993782102
60	M5J	Downtown Toronto	Toronto Islands	/wiki/Toronto_Islands	Toronto Islands, Toronto, Ontario	43.62103006996925	-79.37714996220241
61	M5J	Downtown Toronto	Union Station	/wiki/Union_Station_(Toronto)	Union Station, Toronto, Ontario	43.64565997778303	-79.38036993060764
62	M6J	West Toronto	Little Portugal	/wiki/Little_Portugal,_Toronto	Little Portugal, Toronto, Ontario	43.64748000000003	-79.42902999999995
63	M6J	West Toronto	Trinity	/wiki/Trinity%E2%80%93Bellwoods	Trinity–Bellwoods, Toronto, Ontario	43.65422658431076	-79.38155673522722
64	M1K	Scarborough	East Birchmount Park	/wiki/Scarborough,_Toronto	Scarborough, Toronto, Ontario	43.781445823199604	-79.29834871270408
65	M1K	Scarborough	Ionview	/wiki/Ionview	Ionview, Toronto, Ontario	43.73629000000005	-79.27319999999997
66	M1K	Scarborough	Kennedy Park	/wiki/Kennedy_Park,_Toronto	Kennedy Park, Toronto, Ontario	43.725870000000036	-79.26231999999997
67	M2K	North York	Bayview Village	/wiki/Bayview_Village	Bayview Village, Toronto, Ontario	43.777100000000075	-79.37956999999993
68	M3K	North York	CFB Toronto	/wiki/CFB_Toronto	CFB Toronto, Toronto, Ontario	43.648690000000045	-79.38543999999995
69	M3K	North York	Downsview East	/wiki/North_York	North York, Toronto, Ontario	43.720189518788395	-79.49991483674016
70	M4K	East Toronto	The Danforth West	/wiki/East_Toronto	East Toronto, Toronto, Ontario	43.690666256230834	-79.29079862604712
71	M4K	East Toronto	Riverdale	/wiki/Riverdale,_Toronto	Riverdale, Toronto, Ontario	43.673230000000046	-79.34120999999998
72	M5K	Downtown Toronto	Design Exchange	/wiki/Design_Exchange	Design Exchange, Toronto, Ontario	43.648189956142986	-79.38011000447203
73	M5K	Downtown Toronto	Toronto Dominion Centre	/wiki/Toronto_Dominion_Centre	Toronto Dominion Centre, Toronto, Ontario	43.6468581148579	-79.3819539093776
74	M6K	West Toronto	Brockton	/wiki/West_Toronto	West Toronto, Toronto, Ontario	43.64876343096865	-79.43448394859772
75	M6K	West Toronto	Exhibition Place	/wiki/Exhibition_Place	Exhibition Place, Toronto, Ontario	43.634030000000045	-79.41181999999998
76	M6K	West Toronto	Parkdale Village	/wiki/Parkdale_Village	Parkdale Village, Toronto, Ontario	43.641321258583886	-79.45143624689817
77	M1L	Scarborough	Clairlea	/wiki/Clairlea	Clairlea, Toronto, Ontario	43.71682000000004	-79.29959999999993
78	M1L	Scarborough	Golden Mile	/wiki/Golden_Mile,_Toronto	Golden Mile, Toronto, Ontario	43.725990000000074	-79.28326999999996
79	M1L	Scarborough	Oakridge	/wiki/Oakridge,_Toronto	Oakridge, Toronto, Ontario	43.69883000000005	-79.27911999999998
80	M2L	North York	Silver Hills	/wiki/North_York	North York, Toronto, Ontario	43.75763000000007	-79.37118999999996
81	M2L	North York	York Mills	/wiki/York_Mills	York Mills, Toronto, Ontario	43.74647516020779	-79.39161667241902
82	M3L	North York	Downsview West	/wiki/Downsview	Downsview, Toronto, Ontario	43.720189518788395	-79.49991483674016
83	M4L	East Toronto	The Beaches West	/wiki/East_Toronto	East Toronto, Toronto, Ontario	43.67413000000005	-79.29643999999995
84	M4L	East Toronto	India Bazaar	/wiki/India_Bazaar	India Bazaar, Toronto, Ontario	43.73828005496566	-79.56572992224046
85	M5L	Downtown Toronto	Commerce Court	/wiki/Commerce_Court	Commerce Court, Toronto, Ontario	43.64887950000002	-79.37913375
86	M5L	Downtown Toronto	Victoria Hotel	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.65454998167821	-79.3788700333255
87	M6L	North York	Downsview	/wiki/Downsview,_Toronto	Downsview, Toronto, Ontario	43.720189518788395	-79.49991483674016
88	M6L	North York	North Park	/wiki/North_York	North York, Toronto, Ontario	43.72097000000008	-79.47552999999994
